TS,Abs_in,Terb_in,O3_dose,pH_set,Abs_out,Terb_out,Estacio_code,COAGULANT,FLOCULANT
2023-07-23 13:00:00,5.6375003,39.2948717948718,0.5,7.800663,2.925,0.0,1.0,21.11,1.19
2023-07-23 14:00:00,5.6062503,39.2948717948718,0.5,7.7978697,2.93125,0.0,1.0,21.11,1.19
2023-07-23 15:00:00,5.6,39.2948717948718,0.5,7.801462,2.9375,0.0,1.0,21.11,1.19
2023-07-23 16:00:00,5.6062503,39.2948717948718,0.5,7.804169,2.95625,0.0,1.0,21.11,1.19
2023-07-23 17:00:00,5.6125,39.2948717948718,0.5,7.795391,2.95625,0.0,1.0,21.11,1.19
2023-07-23 18:00:00,5.6125,39.2948717948718,0.5,7.7977495,2.9625,0.0,1.0,21.11,1.19
2023-07-23 19:00:00,5.6125,39.2948717948718,0.5,7.807907,2.9375,0.0,1.0,21.11,1.19
2023-07-23 20:00:00,5.61875,39.2948717948718,0.5,7.8036,2.95625,0.0,1.0,21.11,1.19
2023-07-23 21:00:00,5.63125,39.2948717948718,0.5,7.796384,2.9437501,0.0,1.0,21.11,1.19
2023-07-23 22:00:00,5.63125,39.2948717948718,0.5,7.802848,2.93125,0.0,1.0,21.11,1.19
2023-07-23 23:00:00,5.625,39.2948717948718,0.5,7.802887,2.9375,0.0,1.0,21.11,1.19
2023-07-24 00:00:00,5.63125,39.2948717948718,0.5,7.803647,2.925,0.0,1.0,21.11,1.19
2023-07-24 01:00:00,5.63125,39.2948717948718,0.5,7.807065,2.91875,0.0,1.0,21.11,1.19
2023-07-24 02:00:00,5.63125,39.2948717948718,0.5,7.7995615,2.9125001,0.0,1.0,21.11,1.19
2023-07-24 03:00:00,5.63125,39.2948717948718,0.5,7.793665,2.91875,0.0,1.0,21.11,1.19
2023-07-24 04:00:00,5.6375003,39.2948717948718,0.5,7.7968554,2.925,0.0,1.0,21.11,1.19
2023-07-24 05:00:00,5.64375,39.2948717948718,0.5,7.7969956,2.9375,0.0,1.0,21.11,1.19
2023-07-24 06:00:00,5.64375,39.2948717948718,0.5,7.796154,2.925,0.0,1.0,21.11,1.19
2023-07-24 07:00:00,5.65,39.2948717948718,0.5,7.8064833,2.91875,0.0,1.0,21.11,1.19
2023-07-24 08:00:00,5.64375,39.2948717948718,0.5,7.7990727,2.9125001,0.0,1.0,21.11,1.19
2023-07-24 09:00:00,5.625,39.2948717948718,0.5,7.7930446,2.9375,0.0,1.0,21.11,1.19
2023-07-24 10:00:00,5.59375,39.2948717948718,0.5,7.791475,2.95,0.0,1.0,21.11,1.19
2023-07-24 11:00:00,5.56875,39.2948717948718,0.5,7.7944045,3.03125,0.0,1.0,21.11,1.19
2023-07-24 12:00:00,5.26875,39.2948717948718,0.5,7.805862,2.9875,0.0,1.0,21.11,1.19
2023-07-24 13:00:00,5.21875,39.2948717948718,0.5,7.8044734,2.9375,0.0,1.0,21.11,1.19
2023-07-24 14:00:00,5.2000003,39.2948717948718,0.5,7.803655,2.91875,0.0,1.0,21.11,1.19
2023-07-24 15:00:00,5.2125,39.2948717948718,0.5,7.799225,2.9,0.0,1.0,21.11,1.19
2023-07-24 16:00:00,5.2000003,39.2948717948718,0.5,7.8012514,2.89375,0.0,1.0,21.11,1.19
2023-07-24 17:00:00,5.18125,39.2948717948718,0.5,7.8032327,2.9375,0.0,1.0,21.11,1.19
2023-07-24 18:00:00,5.18125,39.2948717948718,0.5,7.797576,2.9375,0.0,1.0,21.11,1.19
2023-07-24 19:00:00,5.2000003,39.2948717948718,0.5,7.7940426,2.9437501,0.0,1.0,21.11,1.19
2023-07-24 20:00:00,5.2312503,39.2948717948718,0.5,7.7966,2.9375,0.0,1.0,21.11,1.19
2023-07-24 21:00:00,5.25625,39.2948717948718,0.5,7.798,2.95,0.0,1.0,21.11,1.19
2023-07-24 22:00:00,5.2625003,39.2948717948718,0.5,7.794139,2.93125,0.0,1.0,21.11,1.19
2023-07-24 23:00:00,5.275,39.2948717948718,0.5,7.7981563,2.9375,0.0,1.0,21.11,1.19
2023-07-25 00:00:00,5.275,39.2948717948718,0.5,7.793958,2.9625,0.0,1.0,21.11,1.19
2023-07-25 01:00:00,5.2875,39.2948717948718,0.5,7.8025994,2.9437501,0.0,1.0,21.11,1.19
2023-07-25 02:00:00,5.28125,39.2948717948718,0.5,7.7973747,2.9625,0.0,1.0,21.11,1.19
2023-07-25 03:00:00,5.2937503,39.2948717948718,0.5,7.7976537,2.96875,0.0,1.0,21.11,1.19
2023-07-25 04:00:00,5.3125,39.2948717948718,0.5,7.794939,2.9625,0.0,1.0,21.11,1.19
2023-07-25 05:00:00,5.33125,39.2948717948718,0.5,7.8006916,2.98125,0.0,1.0,21.11,1.19
2023-07-25 06:00:00,5.3562503,39.2948717948718,0.5,7.7993813,2.99375,0.0,1.0,21.11,1.19
2023-07-25 07:00:00,5.38125,39.2948717948718,0.5,7.799659,2.99375,0.0,1.0,21.11,1.19
2023-07-25 08:00:00,5.4187503,39.2948717948718,0.5,7.7960305,2.99375,0.0,1.0,21.11,1.19
2023-07-25 09:00:00,5.4,39.2948717948718,0.5,7.8012285,3.025,0.0,1.0,21.11,1.19
2023-07-25 10:00:00,5.3562503,39.2948717948718,0.5,7.8040476,3.01875,0.0,1.0,21.11,1.19
2023-07-25 11:00:00,5.2875,39.2948717948718,0.5,7.807896,3.0125,0.0,1.0,21.11,1.19
2023-07-25 12:00:00,5.31875,39.2948717948718,0.5,7.8012705,3.05625,0.0,1.0,21.11,1.19
2023-07-25 13:00:00,5.3125,39.2948717948718,0.5,7.8054223,3.0375001,0.0,1.0,21.11,1.19
2023-07-25 14:00:00,5.2937503,39.2948717948718,0.5,7.7995353,3.04375,0.0,1.0,21.11,1.19
2023-07-25 15:00:00,5.275,39.2948717948718,0.5,7.8008,3.03125,0.0,1.0,21.11,1.19
2023-07-25 16:00:00,5.25,39.2948717948718,0.5,7.8008,3.03125,0.0,1.0,21.11,1.19
2023-07-25 17:00:00,5.26875,39.2948717948718,0.5,7.7948728,3.025,0.0,1.0,21.11,1.19
2023-07-25 18:00:00,5.26875,39.2948717948718,0.5,7.801133,3.01875,0.0,1.0,21.11,1.19
2023-07-25 19:00:00,5.2875,39.2948717948718,0.5,7.801782,3.05,0.0,1.0,21.11,1.19
2023-07-25 20:00:00,5.31875,39.2948717948718,0.5,7.7962894,3.05,0.0,1.0,21.11,1.19
2023-07-25 21:00:00,5.35,39.2948717948718,0.5,7.7977858,3.0375001,0.0,1.0,21.11,1.19
2023-07-25 22:00:00,5.3562503,39.2948717948718,0.5,7.8046093,3.04375,0.0,1.0,21.11,1.19
2023-07-25 23:00:00,5.375,39.2948717948718,0.5,7.8052645,3.03125,0.0,1.0,21.11,1.19
2023-07-26 00:00:00,5.39375,39.2948717948718,0.5,7.7958674,3.05625,0.0,1.0,21.11,1.19
2023-07-26 01:00:00,5.40625,39.2948717948718,0.5,7.803769,3.08125,0.0,1.0,21.11,1.19
2023-07-26 02:00:00,5.425,39.2948717948718,0.5,7.799017,3.075,0.0,1.0,21.11,1.19
2023-07-26 03:00:00,5.43125,39.2948717948718,0.5,7.797729,3.075,0.0,1.0,21.11,1.19
2023-07-26 04:00:00,5.44375,39.2948717948718,0.5,7.794355,3.08125,0.0,1.0,21.11,1.19
2023-07-26 05:00:00,5.45625,39.2948717948718,0.5,7.799044,3.08125,0.0,1.0,21.11,1.19
2023-07-26 06:00:00,5.475,39.2948717948718,0.5,7.7942276,3.0875,0.0,1.0,21.11,1.19
2023-07-26 07:00:00,5.4875,39.2948717948718,0.5,7.80319,3.11875,0.0,1.0,21.11,1.19
2023-07-26 08:00:00,5.4875,39.2948717948718,0.5,7.806151,3.1125,0.0,1.0,21.11,1.19
2023-07-26 09:00:00,5.44375,39.2948717948718,0.5,7.8007717,3.0875,0.0,1.0,21.11,1.19
2023-07-26 10:00:00,5.4125,39.2948717948718,0.5,7.8012285,3.08125,0.0,1.0,21.11,1.19
2023-07-26 11:00:00,5.35,39.2948717948718,0.5,7.7957993,3.075,0.0,1.0,21.11,1.19
2023-07-26 12:00:00,5.3375,39.2948717948718,0.5,7.8016944,3.075,0.0,1.0,21.11,1.19
2023-07-26 13:00:00,5.3250003,39.2948717948718,0.5,7.8016405,3.075,0.0,1.0,21.11,1.19
2023-07-26 14:00:00,5.275,39.2948717948718,0.5,7.805062,3.09375,0.0,1.0,21.11,1.19
2023-07-26 15:00:00,5.2625003,39.2948717948718,0.5,7.7981462,3.08125,0.0,1.0,21.11,1.19
2023-07-26 16:00:00,5.24375,39.2948717948718,0.5,7.7956333,3.05625,0.0,1.0,21.11,1.19
2023-07-26 17:00:00,5.2375,39.2948717948718,0.5,7.795306,3.04375,0.0,1.0,21.11,1.19
2023-07-26 18:00:00,5.24375,39.2948717948718,0.5,7.7989984,3.0375001,0.0,1.0,21.11,1.19
2023-07-26 19:00:00,5.275,39.2948717948718,0.5,7.79637,3.0375001,0.0,1.0,21.11,1.19
2023-07-26 20:00:00,5.2937503,39.2948717948718,0.5,7.8012843,3.0625,0.0,1.0,21.11,1.19
2023-07-26 21:00:00,5.33125,39.2948717948718,0.5,7.7977796,3.0687501,0.0,1.0,21.11,1.19
2023-07-26 22:00:00,5.34375,39.2948717948718,0.5,7.800592,3.0625,0.0,1.0,21.11,1.19
2023-07-26 23:00:00,5.35,39.2948717948718,0.5,7.797322,3.0375001,0.0,1.0,21.11,1.19
2023-07-27 00:00:00,5.3562503,39.2948717948718,0.5,7.8030353,3.04375,0.0,1.0,21.11,1.19
2023-07-27 01:00:00,5.36875,39.2948717948718,0.5,7.7979045,3.05,0.0,1.0,21.11,1.19
2023-07-27 02:00:00,5.3875003,39.2948717948718,0.5,7.799265,3.08125,0.0,1.0,21.11,1.19
2023-07-27 03:00:00,5.38125,39.2948717948718,0.5,7.7971425,3.0875,0.0,1.0,21.11,1.19
2023-07-27 04:00:00,5.375,39.2948717948718,0.5,7.7978926,3.08125,0.0,1.0,21.11,1.19
2023-07-27 05:00:00,5.3875003,39.2948717948718,0.5,7.8031936,3.05625,0.0,1.0,21.11,1.19
2023-07-27 06:00:00,5.3875003,39.2948717948718,0.5,7.8027453,3.05625,0.0,1.0,21.11,1.19
2023-07-27 07:00:00,5.4,39.2948717948718,0.5,7.796121,3.05,0.0,1.0,21.11,1.19
2023-07-27 08:00:00,5.40625,39.2948717948718,0.5,7.7962656,3.05,0.0,1.0,21.11,1.19
2023-07-27 09:00:00,5.375,39.2948717948718,0.5,7.795317,3.1000001,0.0,1.0,21.11,1.19
2023-07-27 10:00:00,5.36875,39.2948717948718,0.5,7.802736,3.1000001,0.0,1.0,21.11,1.19
2023-07-27 11:00:00,5.3375,39.2948717948718,0.5,7.8000484,3.09375,0.0,1.0,21.11,1.19
2023-07-27 12:00:00,5.30625,39.2948717948718,0.5,7.797458,3.0687501,0.0,1.0,21.11,1.19
2023-07-27 13:00:00,5.31875,39.2948717948718,0.5,7.8038692,3.075,0.0,1.0,21.11,1.19
2023-07-27 14:00:00,5.3,39.2948717948718,0.5,7.804694,3.05,0.0,1.0,21.11,1.19
2023-07-27 15:00:00,5.25,39.2948717948718,0.5,7.8064,3.05,0.0,1.0,21.11,1.19
2023-07-27 16:00:00,5.28125,39.2948717948718,0.5,7.8052306,3.05625,0.0,1.0,21.11,1.19
2023-07-27 17:00:00,5.28125,39.2948717948718,0.5,7.7966,3.05,0.0,1.0,21.11,1.19
2023-07-27 18:00:00,5.31875,39.2948717948718,0.5,7.8022,3.0687501,0.0,1.0,21.11,1.19
